Time_Index,Actual_T_30cm,Predicted_T_30cm
0,18.199999,18.525517
1,18.8,18.584557
2,18.8,18.642975
3,18.999998,18.702871
4,19.199999,18.760258
5,19.399998,18.804192
6,19.399998,18.826902
7,19.299997,18.825872
8,19.399998,18.867773
9,19.399998,18.915846
10,19.5,18.962128
11,19.199999,18.994652
12,19.099998,19.042082
13,18.9,19.09413
14,19.5,19.18641
15,19.399998,19.281584
16,19.199999,19.364141
17,19.099998,19.429802
18,18.9,19.456896
19,18.7,19.4596
20,18.399998,19.445044
21,18.299997,19.484524
22,18.199999,19.538128
23,18.199999,19.580427
24,18.299997,19.602747
25,18.299997,19.596987
26,18.5,19.497793
27,18.6,19.366837
28,18.7,19.222574
29,18.5,19.082832
30,18.999998,18.962557
31,18.6,18.872177
32,18.6,18.807884
33,18.6,18.774858
34,18.6,18.765821
35,18.6,18.775507
36,18.7,18.787657
37,18.8,18.826027
38,18.7,18.890562
39,18.9,18.944592
40,19.099998,18.977915
41,19.199999,18.988644
42,19.299997,18.978071
43,19.399998,18.959206
44,19.399998,18.940638
45,19.5,18.916853
46,19.5,18.898903
47,18.999998,18.895905
48,18.8,18.906116
49,18.999998,18.928484
50,19.099998,18.957579
51,19.299997,18.990902
52,19.199999,19.02897
53,19.199999,19.066807
54,19.5,19.074516
55,19.299997,19.056374
56,19.399998,19.035845
57,19.5,19.020424
58,19.199999,19.0305
59,19.099998,19.050276
60,18.8,19.082893
61,18.9,19.139997
62,19.299997,19.131826
63,19.299997,19.130579
64,19.299997,19.14418
65,19.299997,19.159689
66,19.299997,19.1791
67,19.199999,19.190836
68,19.099998,19.20885
69,18.999998,19.302639
70,18.9,19.407839
71,18.8,19.521576
72,18.7,19.629793
73,18.6,19.721409
74,18.5,19.786057
75,18.5,19.812937
76,18.6,19.806927
77,18.6,19.764061
78,19.099998,19.693708
79,18.5,19.604385
80,19.199999,19.506199
81,19.099998,19.404394
82,18.999998,19.303217
83,18.8,19.217615
84,18.6,19.146404
85,18.5,19.111052
86,18.7,18.989471
87,19.5,18.914888
88,19.399998,18.87611
89,19.399998,18.86873
90,19.299997,18.878912
91,18.299997,18.895458
92,18.299997,18.914347
93,18.399998,18.947142
94,18.6,19.030977
95,18.8,19.13269
96,19.099998,19.238764
97,19.299997,19.335493
98,19.5,19.368591
99,19.6,19.369688
100,18.299997,19.35731
101,19.7,19.350267
102,18.399998,19.357632
103,19.399998,19.388498
104,19.6,19.441154
105,19.7,19.512762
106,19.8,19.594704
107,19.199999,19.608702
108,18.999998,19.657673
109,18.7,19.652788
110,19.199999,19.665287
111,18.999998,19.69909
112,18.9,19.750315
113,18.8,19.8129
114,18.6,19.847038
115,18.5,19.853415
116,18.5,19.828825
117,18.5,19.814981
118,18.5,19.794931
119,18.8,19.769598
120,19.299997,19.736917
121,19.399998,19.693844
122,19.5,19.645163
123,19.6,19.594688
124,19.7,19.546795
125,19.7,19.505518
126,19.7,19.483252
127,18.9,19.499598
128,18.8,19.540289
129,18.8,19.595463
130,18.7,19.65927
131,18.8,19.732296
132,18.9,19.797993
133,18.999998,19.8616
134,18.999998,19.87333
135,19.299997,19.853464
136,19.399998,19.82103
137,19.5,19.779013
138,19.6,19.742334
139,19.7,19.715878
140,19.099998,19.70055
141,19.099998,19.692549
142,19.399998,19.707024
143,19.199999,19.73721
144,19.9,19.779194
145,19.8,19.829735
146,19.8,19.886084
147,19.7,19.910711
148,19.6,19.91275
149,19.5,19.918247
150,19.9,19.91366
151,19.399998,19.93817
152,19.399998,19.97231
153,19.399998,20.009672
154,19.299997,20.042973
155,19.199999,20.066648
156,19.199999,20.078941
157,19.099998,20.102726
158,19.099998,20.114624
159,18.999998,20.118328
160,19.099998,20.117678
161,19.099998,20.1092
162,19.199999,20.091572
163,19.199999,20.070154
