Location,Latest_DateTime,VW_30cm,T_30cm
CAF003,2016-06-16,0.212,15.8
CAF007,2016-06-16,0.171,14.9
CAF009,2016-06-16,0.238,14.9
CAF019,2016-06-16,0.211,14.0
CAF031,2016-06-16,0.139,14.9
CAF033,2016-06-16,0.211,14.0
CAF035,2016-06-16,0.223,14.1
CAF061,2016-06-16,0.21,16.7
CAF067,2016-06-16,0.139,14.9
CAF075,2016-06-16,0.21,16.7
CAF079,2016-06-16,0.238,14.9
CAF095,2016-06-16,0.303,13.5
CAF119,2016-06-16,0.216,16.3
CAF125,2016-06-16,0.216,16.3
CAF129,2016-06-16,0.238,14.9
CAF133,2016-06-16,0.238,14.9
CAF135,2016-06-16,0.216,16.3
CAF139,2016-06-16,0.2,14.6
CAF141,2016-06-16,0.223,14.1
CAF163,2016-06-16,0.171,14.9
CAF173,2016-06-16,0.171,15.0
CAF197,2016-06-16,0.139,14.9
CAF201,2016-06-16,0.26,14.3
CAF205,2016-06-16,0.186,13.5
CAF209,2016-06-16,0.217,16.5
CAF215,2016-06-16,0.26,14.3
CAF217,2016-06-16,0.212,15.8
CAF231,2016-06-16,0.225,15.2
CAF237,2016-06-16,0.238,14.9
CAF245,2016-06-16,0.238,14.9
CAF275,2016-06-16,0.236,14.8
CAF308,2016-06-16,0.303,13.5
CAF310,2016-06-16,0.139,14.9
CAF312,2016-06-16,0.199,14.1
CAF314,2016-06-16,0.238,14.9
CAF316,2016-06-16,0.238,14.9
CAF349,2016-06-16,0.171,14.9
CAF351,2016-06-16,0.211,14.0
CAF357,2016-06-16,0.139,14.9
CAF377,2016-06-16,0.168,13.4
CAF397,2016-06-16,0.223,14.1
CAF401,2016-06-16,0.238,14.9
